sex,T1,T2,L1,L2
F,39293,41909,103,149.5
F,39293,41914,130,137
F,39293,39759,155,154
F,39293,41543,155,159
F,39295,39763,145,152
F,39295,40003,145,151
F,39295,39759,155,158
F,39295,39759,156,152
F,39332,40005,145,146
F,39332,41792,145,152
F,39332,41424,151,156
F,39332,39759,164,166
F,39332,40632,164,171
F,39659,41788,134,148.5
F,39759,41909,155,164
F,39759,41424,155,161
F,39759,40005,156,159
F,39759,40008,156,155
F,39759,41909,156,155
F,39759,41473,157,161
F,39759,41424,160,161
F,39759,41543,160,159
F,39759,41788,160,156.5
F,39759,41466,160,159
F,39759,41422,161,162
F,39759,41543,166,165
F,39763,41918,151,163
F,39763,41914,155,150
F,39763,41918,161,158
F,39763,40003,167,166
F,39764,41535,126,135
F,39764,41918,126,135
F,39764,41419,149,150
F,39764,41918,154,156
F,39764,41473,160,158
F,39764,41918,166,159
F,39766,40008,124,127
F,39766,41918,124,143
F,39766,41543,157,163
F,39766,41789,157,160
F,39767,40003,158,158
F,39767,41537,163,163
F,39767,41783,164,164
F,40003,41914,130,143
F,40003,41543,134,137
F,40003,41914,137,139
F,40003,41543,143,149
F,40003,41918,143,149
F,40003,41535,152,161
F,40003,41914,152,154
F,40005,41914,131,140
F,40005,41531,136,148
F,40005,41789,141,152
F,40005,41909,144,151
F,40005,41424,146,150
F,40005,41423,165,163
F,40005,42262,165,163
F,40008,41424,152,158
F,40434,41424,151,151
F,40436,41471,133,135
F,40758,41461,146,147
F,40758,41913,146,146
F,40758,41534,159,157
F,41150,41460,157,158
F,41419,42262,160,161
F,41420,41915,163,158
F,41421,41784,138.5,147
F,41421,41910,157,160
F,41422,41795,144,149
F,41422,41910,144,145
F,41422,41914,154,150
F,41422,41914,158,156
F,41422,41919,160,157
F,41423,41914,140,138
F,41423,41914,144,147
F,41424,41794,139,143
F,41424,41918,148,149
F,41424,41914,155,159
F,41424,42262,155,156
F,41424,42262,155,157
F,41424,41788,162,158
F,41424,41918,162,162
F,41424,42262,162,163
F,41431,41918,156,160
F,41431,41783,162,163
F,41461,41913,154,154
F,41461,41913,162,163.5
F,41461,41913,168,167
F,41473,41794,138,139
F,41531,41912,140,143
F,41533,42262,137,141
F,41533,41912,154,152
F,41535,42262,161,160
F,41540,41911,157,160
F,41542,41911,154.5,157
F,41543,41918,139.5,140
F,41543,41918,156.5,157
F,41543,41785,166,164
F,41788,42262,134,140
F,41790,42262,155,157
M,39004,41539,100,126
M,40432,41919,128,134
M,40438,41541,147,145
M,40758,41533,129,132
M,41421,41784,147,147
M,41464,41786,139,136.5
M,41464,41918,139,141
M,41464,41786,143,144
M,41471,41913,134,145
M,41533,41785,143,142.5
M,41534,41913,159,159
M,41537,41795,142,148
M,41537,41793,144,142
M,41537,41793,144,143.5
M,41537,41784,151,148
M,41537,41793,157,157
M,41542,41916,155,156
M,41543,41790,105,110
